pos/000001.jpg 1 22 38 298 269
pos/000002.jpg 1 137 87 299 312
pos/000003.jpg 1 107 75 188 157
pos/000004.jpg 1 48 25 482 397
pos/000005.jpg 1 3 18 337 303
pos/000006.jpg 1 2 5 222 215
pos/000007.jpg 1 59 6 479 421
pos/000008.jpg 1 245 125 294 247
pos/000009.jpg 1 304 140 606 528
pos/000010.jpg 1 1 75 231 210
pos/000011.jpg 1 55 62 123 125
pos/000012.jpg 1 85 38 356 327
pos/000013.jpg 1 107 398 828 763
pos/000014.jpg 1 85 69 106 99
pos/000015.jpg 1 163 19 255 288
pos/000016.jpg 1 30 28 371 318
pos/000017.jpg 1 149 302 389 356
pos/000018.jpg 1 119 180 243 216
pos/000019.jpg 1 33 38 211 191
pos/000020.jpg 1 315 632 529 472
pos/000021.jpg 1 202 133 100 92
pos/000022.jpg 1 79 86 157 137
pos/000023.jpg 1 72 89 462 410
pos/000024.jpg 2 83 162 252 217 405 560 249 223
pos/000025.jpg 1 81 43 369 358
pos/000026.jpg 1 113 186 103 94
pos/000027.jpg 1 9 3 239 184
pos/000028.jpg 2 51 82 287 341 315 70 361 280
pos/000029.jpg 1 382 242 384 385
pos/000030.jpg 1 102 85 479 469
pos/000031.jpg 2 67 68 196 179 377 70 198 177
pos/000032.jpg 1 186 83 264 221
pos/000033.jpg 1 67 72 72 67
pos/000034.jpg 2 49 98 148 133 282 95 149 136
pos/000035.jpg 1 49 57 201 180
pos/000036.jpg 1 19 4 156 138
pos/000037.jpg 1 144 68 447 406
pos/000038.jpg 1 1 397 1353 1217
pos/000039.jpg 1 60 234 930 822
pos/000040.jpg 1 123 39 976 859
pos/000041.jpg 1 104 32 193 172
pos/000042.jpg 4 52 9 240 203 393 7 250 206 48 225 245 203 397 224 245 205
pos/000043.jpg 1 281 137 288 204
pos/000044.jpg 1 293 94 638 573
pos/000045.jpg 1 100 38 169 157
pos/000046.jpg 1 153 263 435 402
